sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                34.3,  -120.5416952650331,   34.68488044887884,   11809.49350795243,   687.8226038718697,   83766.39143850982,   5259365.002318681,   3616009.786456597,   22.71755143366406,   535.7697889098924,   430.7372523306838,   56.96184517528924
                34.4,  -120.5421296511638,   34.68492479386399,   11878.19751015119,    690.135413739333,   83768.77863970443,   5259418.661951209,   3616052.935582439,   25.02777237399171,   537.4234633142999,   432.2459033772552,   56.89981363541939
                34.5,  -120.5425665274662,   34.68496939312977,   11947.12662155367,   692.4609864998141,   83771.39725475284,   5259472.487132293,   3616096.235765836,   27.34583594968328,   539.0807618677273,   433.7584065636301,   56.83778370375653
                34.6,  -120.5430059032787,   34.68501424761003,   12016.28137086425,   694.7993449971279,   83774.24807019345,   5259526.478224883,   3616139.687392915,   29.67178801493068,    540.741695087023,   435.2747798791565,   56.77573442361884
                34.7,   -120.543447786157,   34.68505935824588,   12085.66228868533,   697.1505109945066,   83777.33187724973,   5259580.635592929,   3616183.290851543,   32.00567634293448,    542.406272483972,   436.7950403012563,   56.71364872865713
                34.8,  -120.5438921855421,   34.68510472598543,   12155.26990740094,   699.5145054348269,   83780.64947200108,   5259634.959601286,   3616227.046531245,   34.34755021755155,   544.0745027424554,   438.3192039750633,   56.65151269915621
                34.9,  -120.5443391090948,   34.68515035178356,   12225.10476106871,     701.89134864576,   83784.20165551694,    5259689.45061565,   3616270.954823123,   36.69746010901061,   545.7463938578103,   439.8472863580122,   56.58931494169562
                  35,  -120.5447885663633,   34.68519623660186,   12295.16738534253,   704.2810604999219,   83787.98923396222,   5259744.109002481,   3616315.016119797,   39.05545741785975,   547.4219532451347,     441.37930233537,    56.5270460622046
                35.1,  -120.5452405651207,   34.68524238140853,   12365.45831737947,    706.683660540038,   83792.01301867988,   5259798.935128951,   3616359.230815351,   41.42159427566156,   549.1011878232902,   442.9152663128489,   56.46469824508971
                35.2,  -120.5456951150257,   34.68528878717813,     12435.978095809,   709.0991680743509,   83796.27382625587,   5259853.929362912,   3616403.599305288,   43.79592338853585,   550.7841040782627,   444.4551922893777,   56.40226490158437
